Name;Type;Promoter;Country;Strategic raw material;
Ageli;Integrated: Extraction and processing;Eramet;France;Lithium (battery grade);
Aguablanca Project;Extraction;RIO NARCEA RECURSOS S.A.;Spain;Cobalt, Platinum Group Metals, Nickel (battery grade), Copper;
Alpha Project;Recycling;Solvay Chimica Italia Spa;Italy;Platinum Group Metals;
BAM4EVER (Phase I&II);Processing;Tokai COBEX savoie;France;Graphite (battery grade);
Barroso Lithium Project;Extraction;Savannah Lithium Unipessoal, Lda;Portugal;Lithium (battery grade);
CAREMAG;Processing;CAREMAG SAS;France;Rare Earth Elements for Magnets, Boron (metallurgy grade);
Chvaletice Manganese Project;Integrated: Extraction and processing;Euro Manganese Inc;Czechia;Manganese (battery grade);
Cínovec lithium project;Integrated: Extraction and processing;Geomet s.r.o.;Czechia;Lithium (battery grade);
CirCular;Recycling;Atlantic Copper SLU;Spain;Copper, Platinum Group Metals, Nickel;
CO2 Graphite;Processing;UP Catalyst;Estonia;Graphite (battery grade);
Emili;Integrated: Extraction and processing;IMERYS Ceramics France;France;Lithium (battery grade);
European Initiative for Strategic and Sustainable Graphite Production;Processing;NGC Battery Materials GmbH;France (main location), Namibia, Germany;Graphite (battery grade);
GALLICAM;Processing;SIBANYE-STILLWATER SANDOUVILLE REFINERY;France;Nickel (battery grade), Cobalt (battery grade), Lithium (battery grade), Graphite (battery grade), Manganese (battery grade), Copper;
GePETO;Processing;Umicore;Belgium;Germanium;
Hycamite TCD Technologies Ltd;Processing;Hycamite TCD Technologies Ltd.;Finland;Graphite (battery grade);
Hydrometallurgy;Recycling;ORANO Batteries;France;Lithium (battery grade), Cobalt, Nickel (battery grade), Manganese, Graphite (battery grade);
Jervois Finland Cobalt Refinery Expansion Project;Processing;Jervois Finland Oy;Finland;Cobalt;
KELIBER LITHIUM PROJECT;Integrated: Extraction and processing;KELIBER TECHNOLOGY OY;Finland;Lithium (battery grade);
Kolmisoppi;Extraction;Terrafame Ltd;Finland;Nickel (battery grade), Cobalt;
La Parrilla Mine (P6 Metals);Integrated: Extraction and processing;Iberian Resources Spain;Spain;Tungsten;
LAS NAVAS;Extraction;LITHIUM IBERIA, S.L.;Spain;Lithium (battery grade);
LIFE-22-ENV- IT- INSPIREE;Recycling;Itelyum Regeneration SpA;Italy;Rare Earth Elements for Magnets;
Lift One;Processing;Lifthium energy, S.A.;Portugal;Lithium (battery grade);
Lithium Hydroxide Converter Guben;Processing;Rock Tech Guben GmbH;Germany;Lithium (battery grade);
MagFactory;Recycling;MagREEsource;France;Rare Earth Elements for Magnets;
Metlen BAUX-EU, GALLANT, LEADER;Integrated: Extraction and processing;Metlen Energy and Metals and European Bauxites;Greece;Bauxite/alumina/aluminium, Gallium;
MINA DOADE PROJECT;Extraction;RECURSOS MINERALES DE GALICIA, S.A.;Spain;Lithium (battery grade);
Mining project EL MOTO;Extraction;ABENÓJAR TUNGSTEN S.L.;Spain;Tungsten;
Neves Corvo - 3RD SILO, LOMBADOR, Semblana;Integrated: Extraction and processing;SOMINCOR;Portugal;Copper;
NorthCYCLE;Recycling;Northvolt Revolt AB;Sweden;Manganese (battery grade), Lithium (battery grade), Graphite (battery grade), Nickel (battery grade), Cobalt;
POLVOLT;Recycling;Elemental Battery Metals Sp. z o.o.;Poland;Nickel (battery grade), Copper, Cobalt, Lithium (battery grade), Platinum Group Metals, Manganese (battery grade);
Polymetallic primary sulphite project PMR project;Integrated: Extraction and processing;Cobre las Cruces S.A.U.;Spain;Copper;
Portovesme CRM Hub;Recycling;Portovesme srl;Italy;Lithium (battery grade), Nickel, Cobalt, Copper;
ProHiPerSi;Substitution;PCC Thorion GmbH;Germany;Graphite (battery grade);
Project Fortum Hydromet;Recycling;Fortum Battery Recycling Oy;Finland;Lithium (battery grade), Copper, Nickel (battery grade), Cobalt;
Pulawy Rare Earths Separation Plant;Processing;Mkango Resources Ltd.;Poland;Rare Earth Elements for Magnets;
RECOVER-IT;Recycling;Circular Materials s.r.l.;Italy;Copper, Nickel (battery grade), Platinum Group Metals;
ReeMAP Project: Malmberget, Lulea Industrial Park, Per Geijer;Integrated: Extraction and processing;LKAB (Luossavaara-Kirunavaara AB);Sweden;Rare Earth Elements for Magnets;
ReGAIN;Substitution;Umicore;Belgium;Germanium;
Romano Mine;Extraction;Lusorecursos Portugal Lithium S.A.Lithium (battery grade);Portugal;Lithium (battery grade);
Rovina;Extraction;Euro Sun Mining Inc.;Romania;Copper;
Sakatti Project;Integrated: Extraction and processing;Anglo American Services (UK) Ltd.;Finland;Cobalt, Platinum Group Metals, Copper, Nickel (battery grade);
SALROM Baia de Fier;Extraction;Societatea Națională a Sării S.A.;Romania;Graphite (battery grade);
Talga Natural Graphite ONE;Extraction;Talga AB;Sweden;Graphite (battery grade);
Verde Magnesium;Extraction;Verde Magnesium SRL.;Romania;Magnesium Metal;
Viridian Lithium;Processing;Viridian Lithium;France;Lithium (battery grade);
Zero Carbon Lithium;Extraction;Vulcan Energie Ressourcen GmbH;Germany;Lithium (battery grade);
